movie,year,imdb,votes
L'emigrante,1915,5.3,12
The Unknown,1915,2.7,15
The Stolen Voice,1915,7.3,11
The Vultures of the Coast,1915,6.2,33
Cross Currents,1915,5,7
Georgia Pearce,1915,6.3,11
The Carpet from Bagdad,1915,4.8,8
The Wolf Man,1915,8.6,8
Playing Dead,1915,5.1,7
Rumpelstiltskin,1915,6.5,6
The Folly of Sin,1915,5.3,6
The Loyal Rebel,1915,6.5,10
The Tunnel,1915,6.5,6
Rags,1915,8.6,17
The Immigrant,1915,7.7,21
How Molly Malone Made Good,1915,6,22
The New Exploits of Elaine,1915,5.2,16
1914,1915,5.9,12
Tsar Ivan Vasilevich Groznyy,1915,6.7,20
Sugar and Spice,1915,6.6,5
Hearts in Exile,1915,5.4,38
Intolerance: Love's Struggle Throughout the Ages,1916,8,12452
The Three Godfathers,1916,7.3,17
A Daughter of the Gods,1916,7.2,29
"20,000 Leagues Under the Sea",1916,6.9,1370
Sherlock Holmes,1916,6.3,261
Where Are My Children?,1916,6.4,493
Judex,1916,6.8,785
The Blacklist,1916,6.5,6
The Habit of Happiness,1916,6.6,27
Joan the Woman,1916,6.5,457
The Good Bad Man,1916,6.8,101
Hell's Hinges,1916,6.8,753
Snow White,1916,6.2,325
The Fall of a Nation,1916,5.5,31
War Brides,1916,7.5,6
The Right to Be Happy,1916,6.1,15
Shoes,1916,6.6,145
Homunculus,1916,7,26
The Return of Draw Egan,1916,6.6,115
The Children Pay,1916,7.8,31
Vingarne,1916,6.2,79
Robinson Crusoe,1916,2.5,11
The Dumb Girl of Portici,1916,6.5,57
"Homunculus, 1. Teil",1916,6.4,63
Daphne and the Pirate,1916,5.6,47
Gloria's Romance,1916,6.3,16
The Call of the Cumberlands,1916,6.6,36
The Mysteries of Myra,1916,6.3,6
Peggy,1916,5,13
The Mutiny of the Bounty,1916,7.4,18
The House Built Upon Sand,1916,6.8,28
After Death,1916,6.9,710
Das Phantom der Oper,1916,7.5,22
Manhattan Madness,1916,6.6,48
The End of the World,1916,6.5,244
The Cossack Whip,1916,8.1,29
The Half-Breed,1916,6.8,113
The Americano,1916,6.2,62
The Queen of Spades,1916,7.1,540
Friday the 13th,1916,6,41
The Warrior,1916,6.2,44
The Aryan,1916,7,11
Liberty,1916,3.9,12
His Picture in the Papers,1916,6.2,101
The Lottery Man,1916,6.1,15
Redeeming Love,1916,4.8,9
The Devil's Needle,1916,7.2,99
American Aristocracy,1916,6.3,56
Less Than the Dust,1916,5.9,16
Shoe Palace Pinkus,1916,5.8,141
A Sister of Six,1916,6.2,10
Chignon d'or,1916,8.2,6
Blind Justice,1916,7.1,226
Poor Little Peppina,1916,6.5,43
Hoodoo Ann,1916,6.7,813
The Place Beyond the Winds,1916,6.2,10
Beatrice Fairfax,1916,7.3,31
Sold for Marriage,1916,6.5,64
The Purple Mask,1916,5.9,8
East Is East,1916,6.5,27
